sequence_number,sepal_length,sepal_width,petal_length,petal_width
A1,5.2,3.4,1.4,0.2
A2,6,2.2,4,1
A3,6.8,3.2,5.9,2.3
A4,6.5,3,5.5,1.8
A5,4.7,3.2,1.6,0.2
A6,5.1,3.8,1.6,0.2
A7,4.7,3.2,1.3,0.2
A8,6.2,2.2,4.5,1.5
A9,5.7,2.9,4.2,1.3
A10,6.1,2.6,5.6,1.4
A11,6,2.7,5.1,1.6
A12,4.8,3,1.4,0.3
A13,5.6,3,4.1,1.3
A14,6.3,3.3,6,2.5
A15,6.7,3.1,4.7,1.5
A16,6.3,2.9,5.6,1.8
A17,5,3.4,1.5,0.2
A18,5.2,4.1,1.5,0.1
A19,6.1,3,4.9,1.8
A20,6.3,3.4,5.6,2.4
A21,5,3.6,1.4,0.2
A22,6.9,3.1,5.1,2.3
A23,5.8,2.7,3.9,1.2
A24,7.2,3.2,6,1.8
A25,4.8,3,1.4,0.1
A26,4.4,3,1.3,0.2
A27,6.7,3.1,5.6,2.4
A28,5.1,3.4,1.5,0.2
A29,5,2.3,3.3,1
A30,5.5,2.3,4,1.3
